timestamp,anno,trimestre,materia,pagina,scaricati,skip_server,skip_local,skip_meta
2026-07-14 16:01:01,2025,1,A010,1,0,0,0,0
2026-07-14 16:06:17,2025,1,A010,1,10,0,0,0
2026-07-14 16:21:13,2025,1,D040,1,10,0,0,0
2026-07-14 16:24:22,2025,1,D040,1,0,0,10,0
2026-07-14 16:25:14,2025,1,D040,2,9,0,1,0
2026-07-14 16:33:16,2025,1,D040,1,0,0,10,0
2026-07-14 16:33:17,2025,1,D040,2,0,0,10,0
2026-07-14 16:34:06,2025,1,D040,3,10,0,0,0
2026-07-14 16:43:54,2025,1,E010,1,10,0,0,0
2026-07-14 16:54:40,2025,1,H010,1,10,0,0,0
2026-07-14 17:06:10,2025,1,C050,1,4,4,0,0
2026-07-14 17:15:41,2025,1,B090,1,10,0,0,0
2026-07-14 17:27:17,2025,1,A020,1,9,0,1,0
2026-07-14 17:36:56,2025,1,B010,1,6,0,4,0
2026-07-15 09:34:42,2025,1,D040,1,0,0,10,0
2026-07-15 09:34:45,2025,1,D040,2,0,0,10,0
2026-07-15 09:34:53,2025,1,D040,3,0,0,10,0
2026-07-15 09:35:51,2025,1,D040,4,10,0,0,0
2026-07-15 09:36:52,2025,1,D040,5,10,0,0,0
2026-07-15 09:37:49,2025,1,D040,6,10,0,0,0
2026-07-15 09:39:32,2025,1,D040,-1,8,0,0,0
2026-07-15 09:39:54,2025,1,E010,1,0,0,10,0
2026-07-15 09:40:31,2025,1,E010,2,10,0,0,0
2026-07-15 09:40:32,2025,1,E010,3,0,0,0,0
2026-07-15 09:41:17,2025,1,E010,4,10,0,0,0
2026-07-15 09:41:19,2025,1,E010,5,0,0,0,0
2026-07-15 09:41:21,2025,1,E010,6,0,0,0,0
2026-07-15 09:42:03,2025,1,E010,7,9,0,0,0
2026-07-15 09:42:04,2025,1,E010,8,0,0,0,0
2026-07-15 09:42:43,2025,1,E010,9,10,0,0,0
2026-07-15 09:42:45,2025,1,E010,10,0,0,0,0
2026-07-15 09:43:16,2025,1,E010,11,9,0,0,0
2026-07-15 09:43:50,2025,1,E010,12,10,0,0,0
2026-07-15 09:44:23,2025,1,E010,13,10,0,0,0
2026-07-15 09:44:58,2025,1,E010,14,10,0,0,0
2026-07-15 09:45:26,2025,1,E010,15,9,0,0,0
2026-07-15 09:45:56,2025,1,E010,16,9,0,0,0
2026-07-15 09:46:03,2025,1,E010,17,2,7,0,0
2026-07-15 09:46:05,2025,1,E010,18,0,8,0,0
2026-07-15 09:46:06,2025,1,E010,19,0,9,0,0
