motivo,anno,tipo,periodo,periodo_label,materia,pagina,ultimo_evento,scaricati,skip_local,skip_server,skip_meta
interrotta,2025,trimestre,1,Q1,C040,3,2026-07-15 09:58:37,,,,
interrotta,2025,trimestre,1,Q1,D010,6,2026-07-15 09:50:29,,,,
vuota,2025,trimestre,1,Q1,D040,21,2026-07-15 10:51:49,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,39,2026-07-15 11:00:10,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,41,2026-07-15 11:00:42,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,44,2026-07-15 11:01:47,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,48,2026-07-15 11:03:32,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,50,2026-07-15 11:04:08,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,54,2026-07-15 11:05:55,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,57,2026-07-15 11:07:12,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,59,2026-07-15 11:07:51,0,0,0,0
vuota,2025,trimestre,1,Q1,D040,63,2026-07-15 11:09:49,0,0,0,0
meta_fallita,2025,trimestre,1,Q1,D040,71,2026-07-15T11:46:23,0,0,0,10
meta_fallita,2025,trimestre,1,Q1,D040,72,2026-07-15T11:46:24,0,0,0,10
interrotta,2025,trimestre,1,Q1,D040,73,2026-07-15 11:46:26,,,,
vuota,2025,trimestre,1,Q1,E010,3,2026-07-15 09:40:32,0,0,0,0
vuota,2025,trimestre,1,Q1,E010,5,2026-07-15 09:41:19,0,0,0,0
vuota,2025,trimestre,1,Q1,E010,6,2026-07-15 09:41:21,0,0,0,0
vuota,2025,trimestre,1,Q1,E010,8,2026-07-15 09:42:04,0,0,0,0
vuota,2025,trimestre,1,Q1,E010,10,2026-07-15 09:42:45,0,0,0,0
