numero,anno,pagina,doc,categoria,hint,azione
35018,2025,0,0,OSCURATO,OCR oscurato su italgiure,"Aggiungi in corte_override.csv: 35018,2025,CGT 2° <regione>"
34810,2025,5,7,NON_TRIBUTARIO,Procedimento con Corte d'Appello (non CGT),"Verifica se e' tributario; se si, override manuale: 34810,2025,CGT ... in corte_override.csv"
34765,2025,7,3,RIFERIMENTO_MANCANTE,Cita Cass. n.5902/2025 assente su italgiure,"Override manuale: 34765,2025,CGT ... in corte_override.csv"
34754,2025,7,10,RIFERIMENTO_MANCANTE,Cita Cass. n.5115/2025 assente su italgiure,"Override manuale: 34754,2025,CGT ... in corte_override.csv"
34412,2025,23,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 34412,2025,CGT ... in corte_override.csv"
34050,2025,42,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 34050,2025,CGT ... in corte_override.csv"
33034,2025,83,2,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33034,2025,CGT ... in corte_override.csv"
32479,2025,103,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32479,2025,CGT ... in corte_override.csv"
31990,2025,123,1,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31990,2025,CGT ... in corte_override.csv"
31405,2025,142,1,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 31405,2025,CGT ... in corte_override.csv"
31275,2025,147,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 31275,2025,CGT ... in corte_override.csv"
30847,2025,160,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 30847,2025,CGT ... in corte_override.csv"
30715,2025,164,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 30715,2025,CGT ... in corte_override.csv"
30222,2025,188,1,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 30222,2025,CGT ... in corte_override.csv"
30221,2025,188,2,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 30221,2025,CGT ... in corte_override.csv"
