numero,anno,datdep,nota
35018,2025,20251231,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34459,2025,20251229,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34451,2025,20251229,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34193,2025,20251226,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34120,2025,20251225,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
30056,2025,20251114,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
29532,2025,20251107,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
29374,2025,20251106,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
28783,2025,20251031,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
28546,2025,20251028,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
28450,2025,20251027,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
27876,2025,20251020,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
27262,2025,20251012,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
26682,2025,20251003,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
24717,2025,20250907,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
24716,2025,20250907,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34362,2025,20251228,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
34249,2025,20251227,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
33826,2025,20251223,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
33706,2025,20251223,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
33607,2025,20251222,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
33271,2025,20251219,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
32998,2025,20251217,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
32646,2025,20251215,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
32584,2025,20251214,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
32018,2025,20251209,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
31831,2025,20251205,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
31946,2025,20251208,OCR oscurato su italgiure - aggiungere riga in corte_override.csv
